<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
Monster (1) Herr Doktor Tenma|Naoki Urasawa|Kana|||9782871293668|fr|
Monster (2) Surprise Party|Naoki Urasawa|Kana|||9782871293675|fr|
Monster (3) 511 Kinderheim|Naoki Urasawa|Kana|||9782871294139|fr|
Monster (4) L'Amie d'ayse|Naoki Urasawa|Kana|||9782871294252|fr|
Monster Allergy (1) Coup de Poudre|Centomo, Artibani, Barbucci, Canepa|Soleil|2003|2845653751|9782845653757|fr|
Monster Allergy (6) Charlie Schuster arrive !|Centomo, Artibani, Coppola|Soleil|2004|284565863X|9782845568639|fr|
Mouchakaka - T1 Vous faites caca ? Vous allez aimer !|Bebb|Nomad|||9782302009301|fr|
Mouchakaka - T2 La Lune, un jour, nous y marcherons|Bebb|Nomad|||9782302013292|fr|
Nabuchodinosaure (1) Prélude à l'apeupréhistoire|Widenlocher, Herle|Dargaud||2882570120|9782882570123|fr|
Nausicaä de la Vallée du vent - T1|Hayao Miyazaki|Glénat|||9782723432979|fr|
Nausicaä de la Vallée du vent - T2|Hayao Miyazaki|Glénat|||9782723433907|fr|
Nausicaä de la Vallée du vent - T3|Hayao Miyazaki|Glénat|||9782723433914|fr|
Nausicaä de la Vallée du vent - T4|Hayao Miyazaki|Glénat|||9782723433921|fr|
Nausicaä de la Vallée du vent - T5|Hayao Miyazaki|Glénat|||9782723433938|fr|
Nausicaä de la Vallée du vent - T6|Hayao Miyazaki|Glénat|||9782723433945|fr|
Nausicaä de la Vallée du vent - T7|Hayao Miyazaki|Glénat|||9782723433952|fr|
New York Trilogie - T1 La Ville|Will Eisner|Delcourt|||9782756009513|fr|
New York Trilogie - T2 L'Immeuble|Will Eisner|Delcourt|||9782756009520|fr|
New York Trilogie - T3 Les Gens|Will Eisner|Delcourt|||9782756009537|fr|
Nic Oumoul (1) Total souk pour Nic Oumouk|Manu Larcenet|Dargaud|||9782205056860|fr|
Nic Oumoul (2) La France a peur de Nic Oumouk|Manu Larcenet|Dargaud|||9782205059977|fr|
One Piece (1) A l'aubde d'une grande aventure|Eiichiro Oda|Glénat|||9782723433358|fr|
One Piece (2) Aux prises avec Baggy et ses Hommes|Eiichiro Oda|Glénat|||9782723434317|fr|
One Piece (3) Piété Filiale|Eiichiro Oda|Glénat|||9782723434805|fr|
One Piece (4) Un Chemin en pente raide|Eiichiro Oda|Glénat|||9782723434812|fr|
One Piece (5) Pour qui sonne le glas|Eiichiro Oda|Glénat|||9782723434829|fr|
One Piece (6) La Grande promesse|Eiichiro Oda|Glénat|||9782723435604|fr|
Où le regard ne porte pas... (1)|Georges Abolin, Olivier Pont|Dargaud|||9782205050929|fr|
Où le regard ne porte pas... (2)|Georges Abolin, Olivier Pont|Dargaud|||9782205050981|fr|
Pandora Box - T1 l'orgueil|Pagot, Alcante|Depuis|||9782800136271|fr|
Paul à la campagne|Michel Rabagliati|la Pastèque|||9782922585018|fr|
Paul à la pêche|Michel Rabagliati|la Pastèque|||9782922585391|fr|
Paul à Québec|Michel Rabagliati|la Pastèque|||9782922585704|fr|
Paul a un travail d'été|Michel Rabagliati|la Pastèque|||9782922585087|fr|
Paul au parc|Michel Rabagliati|la Pastèque|2011||9782923841052|fr|
Paul en appartement|Michel Rabagliati|la Pastèque|||9782922585223|fr|
Peu de gens savent|Manu Larcenet|Les rêveurs|2010||9782912747525|fr|
Preacher - T1 Mort ou Vif|Garth Ennis, Steve Dillon|Panini  Comics|||9782845389274|fr|
Preacher - T2 Jusqu'à la fin du monde|Garth Ennis, Steve Dillon|Panini  Comics|||9782809400779|fr|
Preacher - T3 Fiers Américains|Garth Ennis, Steve Dillon|Panini  Comics|||9782809402520|fr|
Preacher - T4 Histoire Ancienne|Garth Ennis,Steve Pugh, Carlos Ezquerra, Richard Case|Panini  Comics|||9782809403886|fr|
Preacher - T5 Les Enfants du Sang|Garth Ennis, Steve Dillon|Panini  Comics|||9782809406764|frf|
Prométhée - T1 Atlantis|Christophe Bec|Soleil|||9782302004429|fr|
Prométhée - T2 Blue Beam Project|Christophe Bec|Soleil|||9782302006744|fr|
QRN sur Bretzelburg - L'intégrale|Franquin, Greg|Dupuis|1987|2800115580|9782800115580|fr|
Raise The Dead (1) Le commencement de la fin|Leah Moore, John Reppion, Hugo Petrus, Marc Rueda|Soleil US Comics|2011||9782302017054|fr|
Rantanplan - Les cerveaux|Morris, Vittorio, de Groot|Dargaud||2884711015||fr|
Réinventer la Bande Dessinée|Scott McCloud|Vertige Graphic|||9782908981582|fr|
Robin Hood (01) Merriadek|Brrémaud & Loche|Soleil|2002||9782845652958|fr|
Robin Hood (02) Morrigane|Brrémaud & Loche|Soleil|2003||9782845654143|fr|
Robin Hood (03) Robin|Brrémaud & Loche|Soleil|2004||9782845657410|fr|
Rückkehr vom Planet der Schweine – Neues vom Wunderwarzenschwein|Gilbert Shelton|Rotbuch Verlag||3880228019||de|
Silex et Boa|Bercovici, Corteggiani|Glénat Concept pour GDF||||fr|
Simon's Cat (04) Envers et contre tous !|Simon Tofield|Fleuve noir|||9782265093829|fr|
Soyons fous - Tome 1|Manu Larcenet|Fluide Glacial|||9782858154449|fr|
Soyons fous - Tome 2|Manu Larcenet|Fluide Glacial|||9782858153152|fr|
Structura - the art of sparth|sparth|Design Studio Press||1933492252|9781933492254|en|
Terres Lointaines - Episode 1|Leo, Icar|Dargaud|||9782205060423|fr|
Terres Lointaines - Episode 2|Leo, Icar|Dargaud|||9782205061758|fr|
THE Plus Beau Métier du Monde - Emilie, graine de génie|Soph'|Paquet|||9782888902928|fr|
The Walking Dead (01) Passe decompose|Robert Kirkman,Tony Moore,Charlie Adlard,Edmond Tourriol|Delcourt||2756009121|9782756009124|fr|
The Walking Dead (02) Cette vie derriere nous|Robert Kirkman,Charlie Adlard|Delcourt||2756009725|9782756009728|fr|
The Walking Dead (03) Sains et saufs ?|Robert Kirkman,Charlie Adlard|Delcourt|||9782756012834|fr|
The Walking Dead (04) Amour et mort|Robert Kirkman,Charlie Adlard|Delcourt|||9782756013336|fr|
The Walking Dead (05) Monstrueux|Robert Kirkman,Charlie Adlard|Delcourt|||9782756014685|fr|
The Walking Dead (06) Vengeance|Robert Kirkman,Charlie Adlard|Delcourt|||9782756014692|fr|
The Walking Dead (07) Dans l'oeil du cyclone|Robert Kirkman,Charlie Adlard|Delcourt|||9782756017235|fr|
The Walking Dead (08) Une vie de souffrance|Robert Kirkman,Charlie Adlard|Delcourt|||9782756017242|fr|
The Walking Dead (09) Ceux qui restent|Robert Kirkman,Charlie Adlard|Delcourt|||9782756017259|fr|
The Walking Dead (10) vers quel avenir|Robert Kirkman,Charlie Adlard|Delcourt|||9782756021096|fr|
The Walking Dead (11) Les chasseurs|Robert Kirkman,Charlie Adlard|Delcourt|||9782756021102|fr|
The Walking Dead (12) Un monde parfait|Robert Kirkman,Charlie Adlard|Delcourt|||9782756021119|fr|
The Walking Dead (13) Point de non-retour|Robert Kirkman,Charlie Adlard|Delcourt|||9782756025056|fr|
The Walking Dead (14) Piegés|Robert Kirkman,Charlie Adlard|Delcourt|||9782756025063|fr|
The Walking Dead (15) Deuil & Espoir|Robert Kirkman,Charlie Adlard|Delcourt|2012||9782756028729|fr|
The Walking Dead (16) un vaste monde|Robert Kirkman,Charlie Adlard|Delcourt|2012||9782756028736|fr|
The Walking Dead (17) Terrifiant|Robert Kirkman,Charlie Adlard|Delcourt|2013||9782756037981|fr|
The Walking Dead (18) Lucille...|Robert Kirkman,Charlie Adlard|Delcourt|2013||9782756039572|fr|
Titeuf (4) C'est pô juste...|Zep|Glénat||2723418405|9782723418409|fr|
Titeuf (7) le miracle de la vie|Zep|Glénat||2723426548|9782723426541|fr|
Tonton Marcel capitaine d'industrie|Régis Franc|Casterman|1983|2203334169||fr|
Tous les chemins mènent au Rhum|Stéphane Collaro, Match3|Dargaud Editeur|1979|2205015974||fr|
Transmetropolitan (01) Le come-back du siècle|Warren Ellis, Darick Robertson|Panini  Comics|||9782809407563|fr|
Transmetropolitan (02) La nouvelle racaille|Warren Ellis, Darick Robertson|Panini  Comics|||9782809402537|fr|
Transmetropolitan (03) Seul dans la ville|Warren Ellis, Darick Robertson|Panini  Comics|||9782809404340|fr|
Transmetropolitan (04) Eloge funèbre|Warren Ellis, Darick Robertson|Panini  Comics|||9782809410402|fr|
Transmetropolitan (05) Le remède|Warren Ellis, Darick Robertson|Panini  Comics|||9782809408751|fr|
Transmetropolitan (06) Une dernière fois|Warren Ellis, Darick Robertson|Panini  Comics|||9782809412321|fr|
Troiou-Kaer Spirou Ha Fantasio - An Ankou|Gant, Fournier|Dupuis|1978|2800106220||breton|
Trolls de Troy (1) Histoires Trolles|Arleston, Mourier|Soleil|||9782877645911|fr|
Trolls de Troy (10) Les enragés du Darshan (II)|Arleston, Mourier|Soleil|||9782849468500|fr|
Trolls de Troy (2) Le Scalp du Vénérable|Arleston, Mourier|Soleil|||9782877647120|fr|
Trolls de Troy (3) Comme un vol de Pétaures|Arleston, Mourier|Soleil|||9782877648493|fr|
Trolls de Troy (4) Le Feu occulte|Arleston, Mourier|Soleil|||9782845650008|fr|
Trolls de Troy (5) Les maléfices de la Thaumaturge|Arleston, Mourier|Soleil|||9782845651760|fr|
Trolls de Troy (6) Trolls dans la brume|Arleston, Mourier|Soleil|||9782845653733|fr|
Trolls de Troy (7) Plume de Sage|Arleston, Mourier|Soleil|||9782845654822|fr|
Trolls de Troy (9) Les prisonniers du Darshan (I)|Arleston, Mourier|Soleil|||9782849464984|fr|
Tu mourras moins bête (1) La science c'est pas du cinéma|Marion Montaigne|Ankama Editions|||9782359102208|fr|
Tu mourras moins bête (2) Quoi de neuf docteur moustache|Marion Montaigne|Ankama Editions|||9782359102932|fr|
Une Aventure d'Astérix le Gaulois|Uderzo, Goscinny|Dargaud Editeur|1961|||fr|
Une Aventure d'Astérix le Gaulois - Astérix aux Jeux Olympiques|Uderzo, Goscinny|Dargaud Editeur|1968|||fr|
Une Aventure d'Astérix le Gaulois - Astérix chez les Belges|Uderzo, Goscinny|Dargaud|1992|2205011502|9782205011500|fr|
Une Aventure d'Astérix le Gaulois - Astérix chez les bretons|Uderzo, Goscinny|Dargaud Editeur|1966|||fr|
Une Aventure d'Astérix le Gaulois - Astérix et les normands|Uderzo, Goscinny|Dargaud Editeur|1966|||fr|
Une Aventure d'Astérix le Gaulois - Astérix Légionnaire|Uderzo, Goscinny|Dargaud Editeur|1967|||fr|
Une Aventure d'Astérix le Gaulois - En Hispanie|Uderzo, Goscinny|Dargaud Editeur|1969|||fr|
Une Aventure d'Astérix le Gaulois - Gladiateur|Uderzo, Goscinny|Dargaud Editeur|1964|||fr|
Une Aventure d'Astérix le Gaulois - La Serpe d'or|Uderzo, Goscinny|Dargaud Editeur|1963|||fr|
Une Aventure d'Astérix le Gaulois - La Zizanie|Uderzo, Goscinny|Dargaud Editeur|1970|||fr|
Une Aventure d'Astérix le Gaulois - Le combat des chefs|Uderzo, Goscinny|Dargaud Editeur|1966|||fr|
Une Aventure d'Astérix le Gaulois - le tour de Gaule d'Astérix|Uderzo, Goscinny|Dargaud Editeur|1963|||fr|
Une Aventure d'Astérix le Gaulois - Les Lauriers de César|Uderzo, Goscinny|Dargaud Editeur|1972|||fr|
Une aventure rocambolesque de Sigmund Freud - Le temps de chien|Manu Larcenet|Dargaud|||9782205052916|fr|
Une aventure rocambolesque de Vincent Van Gogh - La ligne de front|Manu Larcenet|Dargaud|||9782205054668|fr|
Universal War One - T1 La génèse|Bajram|Quadrant Solaire|||9782849465356|fr|
Universal War One - T2 Le fruit de la connaissance|Bajram|Soleil|||9782845658271|fr|
Universal War One - T3 Gaïn et Abel|Bajram|Soleil|||9782845650374|fr|
Universal War One - T4 Le déluge|Bajram|Soleil|||9782845652347|fr|
Universal War One - T5 Babel|Bajram|Soleil|||9782845654068|fr|
Universal War One - T6 Le patriarche|Bajram|Quadrant Solaire|||9782849460955|fr|
Universal War Two - T1 Le temps du désert|Bajram|Casterman|2013||9782203058620|fr|
V pour Vendetta - Edition intégrale (dédicacée)|Alan Moore, David Lloyd|Delcourt|||9782840552635|fr|
VALERIAN – Les spectres d'Inverloch|J.-C. Mezieres, P. Christin|Dargaud|1984|2205025171||fr|
Victorian Unded (1) Sherlock Holmes contre les Zombies|Ian Edginton, Davide Fabbri|Panini  Comics|2011||9782809420753|fr|
Will - T1 'Y a des jours comme ça !|Bianco|Soleil|||9782845654464|fr|
Will - T2 Si vous croyez que c'est facile !|Bianco|Soleil|||9782845656369|fr|
Y : le dernier homme - T01 No Man's Land|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809405361|fr|
Y : le dernier homme - T02 Un Petit Coin de Paradis|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809405385|fr|
Y : le dernier homme - T03 Un Petit Pas|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782845388536|fr|
Y : le dernier homme - T04 Stop / Encore|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782845389557|fr|
Y : le dernier homme - T05 Alliance Contre Nature|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809400557|fr|
Y : le dernier homme - T06 Entre Filles|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809402735|fr|
Y : le dernier homme - T07 Le Scoop|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809404098|fr|
Y : le dernier homme - T08 Monnaie de Singe|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809406849|fr|
Y : le dernier homme - T09 Terre Mère|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809408638|fr|
Y : le dernier homme - T10 Trajets d'Y|Brian K. Vaughan, Pia Guerra, José Marzan Jr|Panini  Comics|||9782809412505|fr|
Y'a un truc !|Quino|Glénat Humour|2004|2723446816||fr|
Zéro Absolu (01) Programme Siberia|Christophe Bec, Richard Marazano, Homer Reyes|Soleil|2006||9782845659902|fr|
Zombies (01) La divine Comédie|Peru, Cholet, Champelovier|Soleil|||9782302011151|fr|
Zombies (02) De la Brièveté de la Vie|Peru, Cholet, Champelovier|Soleil|2011||9782302016279|fr|
