<titre>|<auteurs>|<editeur>|<annee/copyright>|<isbn-10>|<isbn-13>|<lang>|<cote>
FreakAngels (01)|Warren Ellis, Paul Duffield|Le Lombard|||9782803626984|fr|
FreakAngels (02)|Warren Ellis, Paul Duffield|Le Lombard|||9782803627370|fr|
FreakAngels (03)|Warren Ellis, Paul Duffield|Le Lombard|||9782803627912|fr|
FreakAngels (04)|Warren Ellis, Paul Duffield|Le Lombard|2011||9782803628131|fr|
FreakAngels (05)|Warren Ellis, Paul Duffield|Le Lombard|2011||9782803628568|fr|
Gaston (06) Des Gaffes et des Dégats|Franquin|Dupuis|1980|2800100885||fr|
Gaston (07) Un Gaffeur sachant Gaffer|Franquin|Dupuis|1979|2800100893||fr|
Gaston (08) Lagaffe nous Gâte|Franquin|Dupuis|1979|2800100907||fr|
Gaston (08) Lagaffe nous Gâte|Franquin|Dupuis|1989|2800100907|9782800100906|fr|
Gaston (09) Le Cas Lagaffe|Franquin|Dupuis|1971|2800100915||fr|
Gaston (10) Le Géant de la gaffe|Franquin|Dupuis|1972|2800100923||fr|
Gaston (11) Gaffes, Bévues et Boulettes|Franquin|Dupuis|1973|2800103302||fr|
Gaston (12) Le Gang des Gaffeurs|Franquin|Dupuis|1980|2800104007||fr|
Gaston (13) |Franquin|Dupuis|1998|2800126930|9782800126937|fr|
Gaston (13) Lagaffe Mérite des Baffes|Franquin|Dupuis|1979|2800106581||fr|
Gaston (19) |Franquin|Marsu Productions|1999|2912536316|9782912536310|fr|
Gaston (R1) Gala de Gaffes à Gogo|Franquin|Dupuis|1979|2800100931||fr|
Gaston (R2) Le Bureau des Gaffes en Gros|Franquin|Dupuis|1977|280010094X||fr|
Gaston (R3) Gare aux Gaffes du Gars Gonflé|Franquin, Jidehem|Dupuis|1980|2800103086||fr|
Gaston (R4) En Direct de La Gaffe|Franquin|Dupuis|1979|2800103701||fr|
Genetiks|Marazano, Ponzio|Futuropolis|2013||9782754807074|fr|
Gnomes de Troy|Arleston, Tarquin|Soleil|||9782877648912|fr|
Golden City (1) Pilleurs d'Epaves|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782840552611|fr|
Golden City (2) Banks Contre Banks|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782840554295|fr|
Golden City (3) Nuit Polaire|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782840555483|fr|
Golden City (4) GOLDY|Pecqueur, Malfin, Schelle & Rosa|Delcourt|||9782840556640|fr|
